,precision,recall,f1-score,support
cat,0.65,0.66,0.65,262
dog,0.62,0.61,0.61,249
panda,0.84,0.84,0.84,239
avg/total,0.70,0.70,0.70,750
,precision,recall,f1-score,support
cat,0.63,0.66,0.64,262
dog,0.62,0.53,0.57,249
panda,0.78,0.85,0.81,239
avg/total,0.67,0.68,0.67,750
,precision,recall,f1-score,support
cat,0.00,0.00,0.00,262
dog,0.33,1.00,0.50,249
panda,0.00,0.00,0.00,239
avg/total,0.11,0.33,0.17,750
,precision,recall,f1-score,support
cat,0.65,0.61,0.63,262
dog,0.56,0.67,0.61,249
panda,0.87,0.76,0.81,239
avg/total,0.69,0.68,0.68,750
,precision,recall,f1-score,support
cat,0.64,0.59,0.61,262
dog,0.55,0.59,0.57,249
panda,0.79,0.81,0.80,239
avg/total,0.66,0.66,0.66,750
,precision,recall,f1-score,support
cat,0.62,0.59,0.61,262
dog,0.56,0.57,0.57,249
panda,0.79,0.82,0.80,239
avg/total,0.66,0.66,0.66,750
,precision,recall,f1-score,support
cat,0.00,0.00,0.00,262
dog,0.00,0.00,0.00,249
panda,0.32,1.00,0.48,239
avg/total,0.10,0.32,0.15,750
,precision,recall,f1-score,support
cat,0.52,0.90,0.66,262
dog,0.60,0.28,0.38,249
panda,0.96,0.72,0.82,239
avg/total,0.69,0.64,0.62,750
